T_(ms),Sys_Volts_(V),Comp_P_(mA),Piezo_P_(mA),Piezo_out_(mV),V_dist_(mA),LC_(grams)

14.658,19.398,11.279,4.034,0,18.703,1117
21.713,19.398,11.279,4.041,1,18.703,1117
29.530,19.398,11.279,4.041,2,18.703,1117
37.572,19.398,11.279,4.041,3,18.703,1117
43.576,19.398,11.279,4.041,4,18.703,1117
50.586,19.398,11.279,4.041,5,18.703,1117
57.632,19.398,11.279,4.041,6,18.703,1117
64.553,19.398,11.279,4.041,7,18.703,1115
71.663,19.398,11.279,4.041,8,18.703,1115
80.237,19.412,11.279,4.041,9,18.703,1115
88.591,19.412,11.279,4.041,10,18.703,1115
95.715,19.412,11.279,4.041,11,18.703,1115
103.649,19.412,11.279,4.041,12,18.703,1115
111.610,19.412,11.279,4.041,13,18.703,1115
118.614,19.412,11.279,4.041,14,18.703,1115
126.615,19.412,11.279,4.041,15,18.703,1115
135.574,19.412,11.279,4.041,16,18.703,1115
142.856,19.412,11.279,4.041,17,18.703,1115
150.687,19.407,11.279,4.041,18,18.703,1115
157.732,19.407,11.279,4.041,19,18.703,1097
165.597,19.407,11.279,4.041,20,18.703,1097
172.615,19.407,11.279,4.041,21,18.703,1097
179.505,19.403,11.279,4.041,22,18.703,1097
185.642,19.403,11.279,4.041,23,18.703,1097
193.662,19.403,11.279,4.041,24,18.703,1097
201.594,19.403,11.279,4.041,25,18.703,1097
210.526,19.403,11.279,4.041,26,18.703,1097
220.141,19.403,11.279,4.041,27,18.703,1097
228.944,19.403,11.279,4.041,28,18.703,1097
238.914,19.403,11.279,4.041,29,18.703,1097
249.309,19.399,11.279,4.041,30,18.703,1054
257.852,19.399,11.279,4.041,31,18.703,1054
267.797,19.399,11.251,4.041,32,18.703,1054
277.843,19.399,11.251,4.041,33,18.703,1054
285.782,19.403,11.251,4.041,34,18.703,1054
296.137,19.403,11.251,4.041,35,18.703,1054
308.534,19.403,11.251,4.041,36,18.703,1054
317.888,19.403,11.251,4.041,37,18.717,1054
327.713,19.403,11.251,4.041,38,18.717,1054
335.537,19.403,11.251,4.041,39,18.717,1017
343.815,19.403,11.251,4.041,40,18.717,1017
352.652,19.412,11.251,4.041,41,18.717,1017
365.033,19.412,11.251,4.041,42,18.717,1017
376.050,19.412,11.251,4.041,43,18.717,1017
