T_(ms),Sys_Volts_(V),Comp_P_(mA),Piezo_P_(mA),Piezo_out_(mV),V_dist_(mA),LC_(grams)

14.976,19.408,11.117,6.993,3900,16.729,415
28.940,19.408,11.117,6.993,4000,16.729,416
36.749,19.408,11.117,6.993,4000,16.729,416
45.841,19.408,11.117,6.993,4000,16.729,419
53.745,19.408,11.117,6.993,4000,16.729,438
61.727,19.408,11.117,6.993,4000,16.729,438
69.733,19.408,11.117,6.993,4000,16.729,453
77.742,19.408,11.117,6.993,4000,16.729,457
85.903,19.408,11.117,6.993,4000,16.729,457
93.742,19.408,11.117,6.993,4000,16.729,455
100.750,19.408,11.117,6.993,4000,16.729,435
108.779,19.408,11.117,6.993,4000,16.729,435
116.749,19.408,11.117,6.993,4000,16.729,421
124.736,19.408,11.117,6.993,4000,16.729,420
131.699,19.408,11.117,6.993,4000,16.729,420
137.773,19.408,11.117,6.993,4000,16.729,419
143.770,19.408,11.117,6.993,4000,16.729,421
150.785,19.408,11.117,6.993,4000,16.729,421
156.800,19.408,11.117,6.993,4000,16.729,423
162.802,19.408,11.117,6.993,4000,16.729,423
169.712,19.408,11.117,6.993,4000,16.729,425
175.827,19.408,11.117,6.993,4000,16.729,425
182.609,19.408,11.117,6.993,4000,16.729,427
188.681,19.408,11.117,6.993,4000,16.729,426
194.752,19.408,11.117,7.064,4000,16.729,426
202.800,19.408,11.117,7.064,4000,16.729,425
208.693,19.408,11.117,7.064,4000,16.729,425
214.939,19.408,11.117,7.064,4000,16.729,424
220.828,19.408,11.117,7.064,4000,16.729,424
227.655,19.408,11.117,7.064,4000,16.729,423
236.652,19.412,11.117,7.064,4000,16.729,423
244.654,19.412,11.117,7.064,4000,16.729,424
251.775,19.412,11.117,7.064,4000,16.729,424
258.687,19.412,11.117,7.064,4000,16.729,424
264.716,19.412,11.117,7.064,4000,16.729,424
271.689,19.412,11.117,7.064,4000,16.729,423
278.728,19.412,11.117,7.064,4000,16.729,423
285.666,19.412,11.117,7.064,4000,16.729,423
291.721,19.412,11.117,7.064,4000,16.729,421
297.711,19.412,11.117,7.064,4000,16.729,421
305.877,19.412,11.117,7.064,4000,16.729,421
312.772,19.412,11.117,7.064,4000,16.615,422
319.625,19.412,11.117,7.064,4000,16.615,422
325.704,19.412,11.117,7.064,4000,16.615,425
333.666,19.412,11.117,7.064,4000,16.615,425
341.668,19.412,11.117,7.064,4000,16.615,428
348.687,19.412,11.117,7.064,4000,16.615,430
357.894,19.412,11.117,7.064,4000,16.615,431
364.735,19.412,11.117,7.064,4000,16.615,431
372.751,19.412,11.117,7.064,4000,16.615,431
380.840,19.412,11.117,7.064,4000,16.615,431
387.681,19.412,11.117,7.064,4000,16.615,431
394.647,19.412,11.117,7.064,4000,16.615,431
401.614,19.412,11.117,7.064,4000,16.615,431
411.810,19.412,11.117,7.064,4000,16.615,431
421.879,19.412,11.117,7.064,4000,16.615,429
429.686,19.408,11.117,7.064,4000,16.615,428
437.863,19.408,11.130,7.064,4000,16.615,428
445.703,19.408,11.130,7.064,4000,16.615,428
453.636,19.408,11.130,7.064,4000,16.615,429
463.013,19.408,11.130,7.064,4000,16.615,430
472.952,19.408,11.130,7.064,4000,16.615,430
479.634,19.408,11.130,7.064,4000,16.615,430
489.966,19.408,11.130,7.064,4000,16.615,431
496.743,19.408,11.130,7.064,4000,16.615,431
504.743,19.408,11.130,7.064,4000,16.615,432
513.067,19.408,11.130,7.064,4000,16.615,432
520.635,19.408,11.130,7.064,4000,16.615,432
527.631,19.408,11.130,7.064,4000,16.615,431
535.692,19.408,11.130,7.064,4000,16.615,431
544.965,19.408,11.130,7.064,4000,16.615,431
552.631,19.408,11.130,7.064,4000,16.615,430
560.774,19.408,11.130,7.064,4000,16.615,430
567.632,19.408,11.130,7.064,4000,16.615,430
576.714,19.408,11.130,7.064,4000,16.615,431
583.606,19.408,11.130,7.064,4000,16.615,432
593.643,19.408,11.130,7.064,4000,16.615,432
605.258,19.408,11.130,7.064,4000,16.615,433
615.196,19.408,11.130,7.064,4000,16.615,433
623.055,19.408,11.130,7.064,4000,16.615,433
630.496,19.408,11.130,7.064,4000,16.615,433
637.706,19.408,11.130,7.064,4000,16.615,434
645.610,19.408,11.130,7.064,4000,16.615,434
652.656,19.408,11.130,7.064,4000,16.615,435
658.640,19.408,11.130,7.064,4000,16.615,435
665.760,19.408,11.130,7.064,4000,16.615,435
671.748,19.408,11.130,7.086,4000,16.615,435
677.653,19.408,11.130,7.086,4000,16.615,435
684.697,19.408,11.130,7.086,4000,16.615,436
690.626,19.408,11.130,7.086,4000,16.615,436
699.926,19.408,11.130,7.086,4000,16.615,436
706.737,19.408,11.130,7.086,4000,16.615,436
713.773,19.408,11.130,7.086,4000,16.615,436
720.731,19.408,11.130,7.086,4000,16.615,435
727.630,19.408,11.130,7.086,4000,16.615,434
736.342,19.408,11.130,7.086,4000,16.615,434
743.650,19.408,11.130,7.086,4000,16.615,433
751.715,19.408,11.130,7.086,4000,16.615,434
759.629,19.408,11.130,7.086,4000,16.615,434
767.784,19.408,11.130,7.086,4000,16.615,433
784.636,19.408,11.130,7.086,4000,16.615,431
791.768,19.408,11.130,7.086,4000,16.615,431
797.838,19.408,11.130,7.086,4000,16.606,430
805.810,19.408,11.130,7.086,4000,16.606,430
813.843,19.408,11.130,7.086,4000,16.606,430
822.210,19.412,11.130,7.086,4000,16.606,432
828.615,19.421,11.130,7.086,4000,16.606,433
835.703,19.421,11.130,7.086,4000,16.606,433
842.810,19.421,11.130,7.086,4000,16.606,433
849.753,19.421,11.130,7.086,4000,16.606,433
858.736,19.421,11.130,7.086,4000,16.606,432
866.859,19.421,11.130,7.086,4000,16.606,431
876.436,19.421,11.130,7.086,4000,16.606,430
