T_(ms),Sys_Volts_(V),Comp_P_(mA),Piezo_P_(mA),Piezo_out_(mV),V_dist_(mA),LC_(grams)
12.403,19.398,11.118,7.766,4875,16.072,410
32.315,19.398,11.118,7.766,5117,16.072,410
42.263,19.398,11.118,7.766,5304,16.072,410
52.189,19.398,11.118,7.766,5397,16.072,410
61.125,19.398,11.175,7.766,5489,16.072,410
69.093,19.398,11.175,7.766,5572,16.072,410
78.113,19.398,11.175,7.766,5646,16.072,410
88.175,19.403,11.175,7.766,5728,16.072,410
102.083,19.408,11.175,7.766,5820,16.072,409
110.012,19.408,11.175,7.766,5945,16.072,409
120.333,19.408,11.175,7.766,6016,16.072,409
131.104,19.408,11.175,7.766,6107,16.072,409
139.058,19.408,11.175,7.766,6200,16.072,409
146.028,19.408,11.175,7.766,6268,16.072,409
154.044,19.408,11.175,7.766,6328,16.072,409
167.129,19.408,11.175,7.766,6395,16.072,409
174.428,19.408,11.175,7.766,6503,16.072,409
184.790,19.399,11.175,7.766,6562,16.072,418
194.031,19.389,11.175,7.766,6644,16.072,418
201.229,19.389,11.175,7.766,6716,16.072,418
208.336,19.389,11.175,7.766,6772,16.072,418
215.151,19.389,11.175,7.766,6825,16.072,418
224.630,19.389,11.175,7.766,6876,16.072,418
242.685,19.389,11.175,7.766,6945,16.072,418
253.067,19.389,11.175,7.766,7076,16.072,418
262.203,19.389,11.175,7.766,7141,16.072,418
271.909,19.389,11.175,7.766,7200,16.072,418
281.143,19.394,11.175,7.766,7261,16.072,439
292.116,19.394,11.175,7.766,7317,16.072,439
299.179,19.394,11.175,8.962,7382,16.072,439
306.226,19.394,11.175,8.962,7421,16.072,439
325.517,19.394,11.175,8.962,7460,14.391,439
336.259,19.394,11.175,8.962,7560,14.391,439
345.480,19.394,11.175,8.962,7611,14.391,439
354.029,19.394,11.175,8.962,7652,14.391,439
361.048,19.394,11.175,8.962,7689,14.391,439
367.186,19.394,11.175,8.962,7718,14.391,470
377.417,19.394,11.175,8.962,7742,14.391,470
389.613,19.389,11.175,8.962,7779,14.391,470
398.239,19.389,11.175,8.962,7820,14.391,470
406.042,19.389,11.175,8.962,7847,14.391,470
414.200,19.389,11.175,8.962,7869,14.391,470
421.109,19.389,11.175,8.962,7891,14.391,470
429.018,19.389,11.175,8.962,7907,14.391,470
438.143,19.389,11.175,8.962,7925,14.391,470
446.041,19.389,11.175,8.962,7943,14.391,470
452.340,19.389,11.175,8.962,7956,14.391,507
461.235,19.389,11.175,8.962,7966,14.391,507
469.122,19.389,11.175,8.962,7977,14.391,507
