T_(ms),Sys_Volts_(V),Comp_P_(mA),Piezo_P_(mA),Piezo_out_(mV),V_dist_(mA),LC_(grams)

13.017,19.452,11.341,5.477,2000,18.240,381
21.721,19.452,11.341,5.477,2000,18.240,381
32.456,19.452,11.341,5.477,2000,18.240,381
45.817,19.452,11.341,5.477,2000,18.240,367
55.942,19.452,11.341,5.477,2000,18.240,367
64.785,19.452,11.341,5.477,2000,18.240,367
81.811,19.452,11.364,5.477,2000,18.240,367
90.820,19.430,11.364,5.477,2000,18.240,367
100.064,19.389,11.364,5.477,2000,18.240,367
108.694,19.389,11.364,5.477,2000,18.240,367
116.032,19.389,11.364,5.477,2000,18.240,367
124.077,19.389,11.364,5.477,2000,18.240,367
132.336,19.389,11.364,5.477,2080,18.240,367
142.208,19.389,11.364,5.477,2080,18.240,351
149.702,19.389,11.364,5.477,2080,18.240,351
156.056,19.389,11.364,5.477,2080,18.240,351
163.909,19.389,11.364,5.477,2080,18.240,351
171.711,19.389,11.364,5.477,2080,18.240,351
179.786,19.389,11.364,5.477,2080,18.240,351
188.100,19.394,11.364,5.477,2080,18.240,351
198.767,19.407,11.364,5.477,2080,18.240,351
205.999,19.407,11.364,5.477,2080,18.240,351
213.703,19.407,11.364,5.477,2080,18.240,351
225.159,19.407,11.364,5.477,2080,18.240,338
232.107,19.407,11.364,5.477,2080,18.240,338
238.727,19.407,11.364,5.477,2080,18.240,338
246.651,19.407,11.364,5.477,2080,18.240,338
254.239,19.407,11.364,5.477,2160,18.240,338
276.889,19.407,11.364,5.477,2160,18.240,338
283.654,19.403,11.364,5.477,2160,18.240,338
289.591,19.417,11.364,5.477,2160,18.246,338
296.639,19.417,11.364,5.477,2160,18.246,338
303.619,19.417,11.364,5.477,2160,18.246,338
312.768,19.417,11.364,5.474,2160,18.246,334
320.941,19.417,11.364,5.474,2160,18.246,334
329.632,19.417,11.364,5.474,2160,18.246,334
337.686,19.417,11.364,5.474,2160,18.246,334
345.601,19.417,11.364,5.474,2160,18.246,334
352.627,19.417,11.364,5.474,2160,18.246,334
359.705,19.417,11.364,5.474,2160,18.246,334
366.369,19.417,11.364,5.474,2160,18.246,334
372.657,19.417,11.364,5.474,2240,18.246,334
379.762,19.417,11.364,5.474,2240,18.246,334
392.676,19.381,11.364,5.474,2240,18.246,334
399.262,19.381,11.364,5.474,2240,18.246,334
405.635,19.381,11.364,5.474,2240,18.246,346
411.750,19.381,11.364,5.474,2240,18.246,346
417.540,19.381,11.364,5.474,2240,18.246,346
423.730,19.381,11.364,5.474,2240,18.246,346
430.525,19.381,11.364,5.474,2240,18.246,346
436.547,19.381,11.364,5.474,2240,18.246,346
442.639,19.381,11.364,5.474,2240,18.246,346
450.592,19.381,11.364,5.474,2240,18.246,346
457.631,19.381,11.364,5.474,2240,18.246,346
463.542,19.381,11.364,5.474,2240,18.246,346
470.572,19.381,11.364,5.474,2240,18.246,346
477.548,19.381,11.364,5.474,2240,18.246,346
484.764,19.399,11.364,5.474,2240,18.246,346
491.676,19.408,11.364,5.474,2320,18.246,362
497.673,19.408,11.364,5.474,2320,18.246,362
504.671,19.408,11.364,5.474,2320,18.246,362
514.708,19.408,11.364,5.474,2320,18.246,362
522.689,19.408,11.364,5.474,2320,18.246,362
530.547,19.408,11.364,5.474,2320,18.246,362
537.587,19.408,11.364,5.474,2320,18.246,362
544.530,19.408,11.364,5.474,2320,18.246,362
552.668,19.408,11.333,5.474,2320,18.246,362
562.556,19.408,11.333,5.474,2320,18.246,362
568.550,19.408,11.333,5.474,2320,18.246,362
581.544,19.408,11.333,5.474,2320,18.246,375
587.653,19.408,11.333,5.474,2320,18.246,375
593.543,19.412,11.333,5.474,2320,18.246,375
600.147,19.412,11.333,5.474,2320,18.246,375
606.629,19.412,11.333,5.474,2400,18.246,375
612.524,19.412,11.333,5.474,2400,18.246,375
619.502,19.412,11.333,5.474,2400,18.246,375
625.519,19.412,11.333,5.474,2400,18.246,375
631.780,19.412,11.333,5.474,2400,18.246,375
645.687,19.412,11.333,5.474,2400,18.246,375
651.606,19.412,11.333,5.474,2400,18.246,375
660.058,19.412,11.333,5.474,2400,18.246,375
667.954,19.412,11.333,5.474,2400,18.246,375
683.620,19.412,11.333,5.474,2400,18.246,384
705.077,19.399,11.333,5.474,2400,18.246,384
712.652,19.399,11.333,5.474,2400,18.246,384
721.904,19.399,11.333,5.474,2400,18.246,384
729.573,19.399,11.333,5.474,2480,18.246,384
738.667,19.399,11.333,5.474,2480,18.246,384
747.531,19.399,11.333,5.474,2480,18.246,384
756.108,19.399,11.333,5.474,2480,18.246,384
767.482,19.399,11.333,5.474,2480,18.246,385
773.534,19.399,11.333,5.474,2480,18.073,385
781.360,19.399,11.333,5.474,2480,18.073,385
788.546,19.399,11.333,5.799,2480,18.073,385
796.766,19.412,11.333,5.799,2560,18.073,385
803.719,19.412,11.333,5.799,2560,18.073,385
811.789,19.412,11.333,5.799,2560,18.073,385
820.635,19.412,11.333,5.799,2560,18.073,385
828.705,19.412,11.333,5.799,2560,18.073,385
838.936,19.412,11.333,5.799,2560,18.073,385
849.489,19.412,11.333,5.799,2560,18.073,385
856.028,19.412,11.333,5.799,2560,18.073,385
