T_(ms),Sys_Volts_(V),Comp_P_(mA),Piezo_P_(mA),Piezo_out_(mV),V_dist_(mA),LC_(grams)

16.289,23.348,11.220,7.769,4875,16.088,418
28.334,23.348,11.220,7.769,5128,16.088,418
37.326,23.348,11.220,7.769,5222,16.088,418
46.402,23.348,11.231,7.813,5293,16.088,418
57.197,23.348,11.143,7.901,5364,15.989,418
66.163,23.348,11.110,7.901,5448,15.835,418
74.022,23.348,11.110,8.209,5518,15.703,418
81.945,23.348,11.110,8.209,5579,15.604,418
89.095,23.348,11.033,8.209,5641,15.505,418
96.454,23.348,11.033,8.396,5697,15.505,418
103.401,23.343,11.033,8.396,5754,15.429,418
113.096,23.343,10.978,8.396,5808,15.363,418
120.102,23.343,10.978,8.473,5883,15.297,418
131.959,23.343,10.945,8.516,5937,15.231,418
138.958,23.343,10.945,8.505,6028,15.176,422
146.080,23.343,10.945,8.659,6082,15.088,422
153.064,23.343,10.945,8.659,6136,15.022,422
159.944,23.343,10.879,8.670,6190,15.022,422
166.978,23.343,10.879,8.670,6242,14.945,422
172.935,23.343,10.879,8.813,6296,14.857,422
179.063,23.343,10.868,8.813,6341,14.857,422
185.995,23.343,10.824,8.813,6387,14.769,422
192.975,23.343,10.824,8.989,6439,14.681,422
200.984,23.343,10.824,9.000,6492,14.604,422
210.016,23.348,10.758,9.000,6551,14.516,422
217.048,23.348,10.758,9.143,6619,14.516,422
223.990,23.348,10.758,9.143,6671,14.440,422
232.162,23.348,10.758,9.143,6722,14.363,448
239.117,23.348,10.692,9.209,6782,14.297,448
245.161,23.348,10.692,9.286,6833,14.297,448
251.954,23.348,10.681,9.286,6877,14.231,448
260.028,23.348,10.681,9.286,6926,14.154,448
266.927,23.348,10.659,9.429,6985,14.088,448
283.197,23.348,10.659,9.429,7034,13.945,448
294.070,23.348,10.615,9.560,7150,13.879,448
309.378,23.348,10.615,9.560,7227,13.879,448
317.022,23.348,10.571,9.670,7334,13.747,486
325.047,23.348,10.571,9.681,7387,13.692,486
338.303,23.348,10.560,9.681,7442,13.637,486
344.983,23.348,10.549,9.813,7532,13.571,486
353.123,23.348,10.549,9.813,7577,13.505,486
360.989,23.348,10.516,9.868,7632,13.440,486
368.087,23.348,10.516,9.956,7684,13.385,486
376.095,23.348,10.516,9.956,7731,13.385,486
384.548,23.348,10.473,9.956,7783,13.330,486
393.000,23.348,10.473,10.088,7838,13.275,486
400.079,23.348,10.473,10.088,7893,13.209,486
407.180,23.348,10.440,10.088,7938,13.165,529
415.128,23.348,10.429,10.198,7983,13.121,529
423.166,23.348,10.440,10.198,8033,13.121,529
431.629,23.348,10.418,10.198,8082,13.066,529
438.196,23.348,10.418,10.264,8135,13.022,529
445.587,23.348,10.418,10.275,8175,12.989,529
454.218,23.348,10.429,10.275,8219,12.956,529
462.458,23.348,10.418,10.341,8271,12.923,529
470.049,23.348,10.418,10.341,8319,12.901,529
477.059,23.344,10.429,10.341,8364,12.901,529
486.509,23.344,10.429,10.352,8404,12.890,529
494.279,23.344,10.429,10.363,8458,12.868,529
502.202,23.344,10.429,10.363,8502,12.857,566
509.008,23.344,10.451,10.374,8546,12.846,566
516.036,23.344,10.451,10.374,8583,12.846,566
524.023,23.344,10.451,10.374,8622,12.835,566
532.050,23.344,10.462,10.374,8665,12.824,566
539.283,23.344,10.462,10.396,8707,12.813,566
546.162,23.344,10.462,10.396,8745,12.802,566
556.140,23.344,10.473,10.396,8781,12.791,566
565.110,23.344,10.473,10.407,8831,12.780,566
571.154,23.344,10.473,10.418,8876,12.780,566
578.157,23.335,10.473,10.407,8906,12.769,566
586.135,23.335,10.484,10.418,8940,12.758,574
594.039,23.335,10.484,10.429,8978,12.747,574
601.052,23.335,10.505,10.429,9016,12.736,574
609.108,23.317,10.505,10.429,9048,12.736,574
617.243,23.317,10.505,10.440,9085,12.725,574
626.007,23.317,10.505,10.440,9121,12.714,574
635.035,23.317,10.538,10.451,9160,12.703,574
645.374,23.317,10.538,10.451,9199,12.692,574
652.209,23.317,10.538,10.451,9242,12.692,574
659.175,23.317,10.549,10.473,9271,12.681,574
666.120,23.317,10.549,10.473,9299,12.681,574
675.110,23.317,10.560,10.473,9326,12.670,560
684.155,23.317,10.560,10.484,9361,12.670,560
692.034,23.317,10.560,10.484,9395,12.659,560
699.112,23.317,10.560,10.484,9425,12.648,560
708.174,23.340,10.582,10.505,9450,12.637,560
717.098,23.340,10.582,10.505,9482,12.626,560
724.071,23.340,10.593,10.505,9513,12.626,560
731.076,23.340,10.604,10.505,9536,12.626,560
737.730,23.340,10.604,10.505,9559,12.615,560
749.897,23.340,10.604,10.505,9580,12.604,560
759.389,23.340,10.615,10.527,9618,12.593,560
767.278,23.340,10.615,10.538,9646,12.582,537
775.219,23.340,10.615,10.538,9668,12.582,537
782.158,23.348,10.615,10.538,9690,12.571,537
790.972,23.348,10.615,10.538,9709,12.571,537
