T_(ms),Sys_Volts_(V),Comp_P_(mA),Piezo_P_(mA),Piezo_out_(mV),V_dist_(mA),LC_(grams)

10.248,19.488,12.813,5.440,7120,18.560,8035
21.048,19.488,12.813,5.440,7200,18.560,8035
31.096,19.488,12.813,5.440,7200,18.560,8035
40.090,19.488,12.813,5.440,7200,18.560,8035
50.662,19.488,12.813,5.440,7200,18.560,8035
60.077,19.488,12.813,5.440,7200,18.560,8035
70.025,19.488,12.824,5.451,7200,18.560,8009
78.018,19.488,12.824,5.451,7200,18.560,8009
87.091,19.488,12.824,5.451,7200,18.560,8009
99.105,19.488,12.802,5.451,7200,18.560,8009
107.081,19.488,12.802,5.451,7200,18.560,8009
115.132,19.488,12.802,5.451,7200,18.560,8009
123.253,19.488,12.802,5.451,7200,18.560,8009
132.077,19.493,12.802,5.451,7200,18.560,8009
141.106,19.493,12.802,5.451,7200,18.560,8009
149.130,19.493,12.813,5.451,7200,18.560,8009
157.122,19.488,12.813,5.451,7200,18.560,7956
165.063,19.488,12.813,5.462,7200,18.560,7956
173.932,19.488,12.802,5.462,7200,18.560,7956
182.022,19.488,12.802,5.462,7200,18.560,7956
189.994,19.488,12.813,5.462,7200,18.560,7956
195.907,19.488,12.802,5.451,7200,18.560,7956
208.889,19.488,12.802,5.451,7200,18.560,7956
214.857,19.488,12.802,5.462,7200,18.560,7956
221.937,19.488,12.802,5.462,7200,18.560,7956
230.014,19.488,12.802,5.462,7200,18.560,7956
237.968,19.488,12.813,5.451,7200,18.560,7956
243.957,19.488,12.813,5.451,7200,18.560,7903
252.182,19.488,12.813,5.451,7200,18.560,7903
261.051,19.493,12.813,5.451,7200,18.560,7903
269.254,19.493,12.813,5.451,7200,18.560,7903
279.583,19.493,12.813,5.451,7200,18.560,7903
289.456,19.493,12.813,5.451,7200,18.560,7903
296.992,19.493,12.813,5.451,7200,18.560,7903
303.874,19.493,12.813,5.451,7200,18.560,7903
314.534,19.493,12.813,5.462,7200,18.560,7903
323.942,19.493,12.802,5.462,7200,18.560,7903
331.948,19.488,12.802,5.462,7200,18.560,7903
339.966,19.488,12.813,5.451,7200,18.560,7862
